Account,Date,Transaction_Type,Transaction_Amount,Wallet_Impact,Balance,Recipient_Number,Is_Fraud
USER_8,2025-07-01 00:48:00,Send Money,0,0.0,999.98,629-988-8167,1
USER_9,2025-07-01 00:48:00,Buy Goods,0,0.0,1000.0,325-203-8700,1
USER_1,2025-07-01 00:52:00,Withdraw,0,-0.0,999.85,731.430.8838,0
USER_5,2025-07-01 00:52:00,Withdraw,0,-0.0,999.24,(588)487-9617,0
USER_1,2025-07-01 00:56:00,Withdraw,0,-0.0,999.85,422.336.4098,0
USER_3,2025-07-01 00:56:00,Pay Bill,5,0.01,1000.05,(869)937-9717x6247,0
USER_4,2025-07-01 00:56:00,Withdraw,0,-0.0,1000.01,9617595505,1
USER_2,2025-07-01 00:56:00,Pay Bill,738,0.09,1000.09,(599)207-9139x80742,0
USER_9,2025-07-01 00:56:00,Withdraw,47,0.4,1000.4,(769)647-3243x48932,0
USER_9,2025-07-01 01:00:00,Deposit,1,-0.01,1000.39,+1-679-916-1518x11511,0
USER_10,2025-07-01 01:02:00,Send Money,0,-0.0,1000.02,877-697-1063x133,1
USER_9,2025-07-01 01:04:00,Withdraw,26,-0.29,1000.1,001-337-274-6837x426,0
USER_6,2025-07-01 01:06:00,Withdraw,5,-0.02,1000.21,001-522-858-0278x729,0
USER_5,2025-07-01 01:12:00,Buy Goods,45,0.14,999.38,753-585-8774,1
USER_6,2025-07-01 01:12:00,Withdraw,3,-0.0,1000.21,640.488.8806,1
USER_1,2025-07-01 01:14:00,Withdraw,6,0.06,999.91,538-574-4045x8450,1
USER_4,2025-07-01 01:16:00,Buy Goods,0,-0.0,1000.01,001-478-978-5325x602,1
USER_4,2025-07-01 01:16:00,Pay Bill,0,-0.0,1000.01,565.527.7541x788,0
USER_4,2025-07-01 01:16:00,Withdraw,0,0.0,1000.01,+1-452-861-9227,1
USER_1,2025-07-01 01:16:00,Buy Goods,16,0.03,999.94,+1-330-982-0020x187,1
USER_1,2025-07-01 01:18:00,Pay Bill,10,0.02,999.96,(242)853-1733,0
USER_3,2025-07-01 01:18:00,Buy Goods,1,0.02,1000.07,(782)802-5528,1
USER_1,2025-07-01 01:18:00,Buy Goods,0,0.0,999.96,747-566-7766,0
USER_5,2025-07-01 01:18:00,Withdraw,0,0.0,999.38,628-529-9363,1
USER_6,2025-07-01 01:20:00,Pay Bill,3,-0.03,1000.18,211-958-6654x966,0
USER_6,2025-07-01 01:22:00,Deposit,203,6.58,1006.76,(526)740-5960x34172,1
USER_7,2025-07-01 01:22:00,Deposit,42,-0.41,999.63,001-331-544-6147,0
USER_9,2025-07-01 01:26:00,Pay Bill,6,-0.05,1000.05,760-474-4626,1
USER_7,2025-07-01 01:30:00,Buy Goods,4,-0.04,999.59,001-901-573-5913x030,0
USER_2,2025-07-01 01:30:00,Withdraw,16,-0.16,999.93,410.883.9520,0
USER_10,2025-07-01 01:32:00,Send Money,0,-0.0,1000.02,(203)478-3101,0
USER_9,2025-07-01 01:32:00,Buy Goods,0,0.0,1000.05,+1-771-513-6339x6005,1
USER_1,2025-07-01 01:36:00,Pay Bill,20,-0.38,999.58,(337)817-2358,0
USER_2,2025-07-01 01:40:00,Send Money,1,0.01,999.94,7982580369,1
USER_6,2025-07-01 01:40:00,Buy Goods,0,-0.0,1006.76,4317192495,1
USER_5,2025-07-01 01:44:00,Send Money,5,-0.05,999.33,588-359-2587,0
USER_4,2025-07-01 01:46:00,Deposit,2,0.03,1000.04,001-741-625-2421x134,0
USER_5,2025-07-01 01:46:00,Deposit,0,0.0,999.33,+1-245-369-8768,0
USER_1,2025-07-01 01:48:00,Deposit,0,-0.0,999.58,830-886-9272x79593,1
USER_1,2025-07-01 01:48:00,Pay Bill,1,0.01,999.59,526.303.5070x019,1
USER_7,2025-07-01 01:48:00,Send Money,0,-0.0,999.59,001-211-747-0786x6445,1
USER_8,2025-07-01 01:56:00,Buy Goods,16,0.06,1000.04,(846)943-2167x00695,1
USER_6,2025-07-01 01:58:00,Withdraw,1,-0.01,1006.75,388-891-8136x9975,1
USER_1,2025-07-01 02:00:00,Deposit,0,-0.0,999.59,001-755-841-5692x0830,1
USER_6,2025-07-01 02:00:00,Buy Goods,0,-0.0,1006.75,353.876.5859,1
USER_8,2025-07-01 02:02:00,Buy Goods,1,-0.02,1000.02,879.258.6251x0131,1
USER_7,2025-07-01 02:02:00,Deposit,8,-0.03,999.56,(486)906-1278,1
USER_1,2025-07-01 02:04:00,Withdraw,2,0.02,999.61,(747)430-9735,1
USER_8,2025-07-01 02:04:00,Withdraw,11,0.05,1000.07,001-691-703-4506x56492,0
USER_1,2025-07-01 02:06:00,Pay Bill,0,0.0,999.61,001-323-663-7413x75973,0
USER_8,2025-07-01 02:16:00,Deposit,1,-0.01,1000.06,+1-873-964-4470x002,0
USER_8,2025-07-01 02:22:00,Send Money,41,0.26,1000.32,001-437-263-0778x940,1
USER_1,2025-07-01 02:24:00,Send Money,0,-0.0,999.61,310.627.9768x586,1
USER_4,2025-07-01 02:24:00,Buy Goods,5,0.0,1000.04,896-445-6927,1
USER_10,2025-07-01 02:28:00,Buy Goods,2,0.0,1000.02,001-971-869-0042,1
USER_1,2025-07-01 02:28:00,Deposit,0,0.0,999.61,920.524.6971x766,1
USER_1,2025-07-01 02:28:00,Send Money,163,0.26,999.87,+1-579-876-3182x80876,1
USER_2,2025-07-01 02:34:00,Send Money,0,-0.0,999.94,(976)905-5017x33044,0
USER_10,2025-07-01 02:36:00,Pay Bill,2,-0.0,1000.02,283.962.8706x6896,1
USER_3,2025-07-01 02:40:00,Deposit,2,-0.0,1000.07,+1-607-756-2413x78879,1
USER_10,2025-07-01 02:42:00,Deposit,1,0.0,1000.02,+1-856-539-7915x8529,0
USER_9,2025-07-01 02:42:00,Pay Bill,1,0.01,1000.06,(797)836-3896,1
USER_7,2025-07-01 02:46:00,Withdraw,1,0.01,999.57,650.323.5756,0
USER_4,2025-07-01 02:46:00,Pay Bill,1,0.0,1000.04,9955013254,1
USER_8,2025-07-01 02:46:00,Deposit,1,-0.01,1000.31,242-634-2438,1
USER_7,2025-07-01 02:46:00,Deposit,4,0.02,999.59,772.804.4535,1
USER_4,2025-07-01 02:48:00,Deposit,1,-0.0,1000.04,001-362-505-8493x49013,0
USER_10,2025-07-01 02:50:00,Buy Goods,3,-0.05,999.97,9459919067,0
USER_3,2025-07-01 02:50:00,Deposit,0,0.0,1000.07,2463214062,0
USER_5,2025-07-01 02:52:00,Pay Bill,40,-0.31,999.02,784.610.8774x26307,1
USER_3,2025-07-01 02:54:00,Buy Goods,2,-0.0,1000.07,001-679-238-8291x78570,0
USER_7,2025-07-01 02:54:00,Buy Goods,0,0.0,999.59,952.842.9956,0
USER_9,2025-07-01 02:56:00,Deposit,0,0.0,1000.06,741-706-3520x48979,0
USER_10,2025-07-01 02:56:00,Withdraw,0,-0.0,999.97,804.640.6723,0
USER_10,2025-07-01 02:58:00,Deposit,0,-0.0,999.97,547.480.9139,1
USER_6,2025-07-01 03:02:00,Deposit,0,-0.0,1006.75,(251)707-4557x6562,0
USER_7,2025-07-01 03:02:00,Buy Goods,1,0.0,999.59,857.642.4818x2651,1
USER_1,2025-07-01 03:10:00,Send Money,0,0.0,999.87,931.504.6766,1
USER_2,2025-07-01 03:14:00,Pay Bill,15,0.04,999.98,551-604-8887,0
USER_10,2025-07-01 03:14:00,Deposit,110,0.11,1000.08,(807)749-3753x502,1
USER_1,2025-07-01 03:16:00,Send Money,31,-0.48,999.39,350.613.6234x53560,0
USER_3,2025-07-01 03:16:00,Send Money,13,-0.15,999.92,001-785-544-6283x654,0
USER_10,2025-07-01 03:22:00,Withdraw,3,-0.09,999.99,+1-902-332-2451x3259,0
USER_8,2025-07-01 03:22:00,Send Money,7,0.04,1000.35,885-235-0631,0
USER_1,2025-07-01 03:24:00,Deposit,66,-0.78,998.61,001-808-976-8301,1
USER_3,2025-07-01 03:30:00,Withdraw,0,0.0,999.92,282-379-2298,1
USER_6,2025-07-01 03:30:00,Send Money,1,-0.0,1006.75,555-806-8676,1
USER_1,2025-07-01 03:32:00,Buy Goods,0,-0.0,998.61,481-616-4375x81465,0
USER_1,2025-07-01 03:34:00,Pay Bill,0,-0.0,998.61,566-663-1656,0
USER_8,2025-07-01 03:34:00,Send Money,0,0.0,1000.35,(494)994-5378x280,1
USER_8,2025-07-01 03:36:00,Pay Bill,0,0.0,1000.35,+1-230-226-8898x4709,1
USER_9,2025-07-01 03:40:00,Send Money,9,0.01,1000.07,202.270.1829,1
USER_7,2025-07-01 03:44:00,Buy Goods,0,0.0,999.59,(863)537-9356,1
USER_9,2025-07-01 03:44:00,Pay Bill,0,0.0,1000.07,001-446-858-4866x132,1
USER_2,2025-07-01 03:44:00,Buy Goods,0,0.0,999.98,3843332576,0
USER_5,2025-07-01 03:46:00,Deposit,16,0.0,999.02,407-572-1113,1
USER_10,2025-07-01 03:46:00,Buy Goods,2,0.04,1000.03,7964683284,0
USER_8,2025-07-01 03:48:00,Withdraw,0,-0.0,1000.35,(889)921-2972,0
USER_1,2025-07-01 03:48:00,Deposit,0,-0.0,998.61,494.679.2418x3710,1
USER_1,2025-07-01 03:50:00,Buy Goods,3,0.01,998.62,001-271-763-9847,0
USER_8,2025-07-01 03:52:00,Deposit,0,0.0,1000.35,818.613.1495x88000,1
USER_1,2025-07-01 03:52:00,Withdraw,0,0.0,998.62,+1-213-292-9356,0
USER_10,2025-07-01 03:56:00,Send Money,0,-0.0,1000.03,001-376-786-3121x571,1
USER_8,2025-07-01 03:58:00,Withdraw,0,0.0,1000.35,314.697.8544x18136,0
USER_10,2025-07-01 03:58:00,Pay Bill,2,-0.0,1000.03,911-796-8842,0
USER_2,2025-07-01 03:58:00,Send Money,10,0.02,1000.0,+1-558-968-9845x192,0
USER_10,2025-07-01 04:02:00,Buy Goods,4,-0.03,1000.0,373.964.5027,1
USER_9,2025-07-01 04:06:00,Deposit,0,0.0,1000.07,001-776-624-1566x44213,0
USER_8,2025-07-01 04:12:00,Withdraw,0,0.0,1000.35,580-391-5697x695,0
USER_6,2025-07-01 04:14:00,Deposit,3,0.07,1006.82,822.708.9647,1
USER_1,2025-07-01 04:14:00,Deposit,0,0.0,998.62,+1-448-396-4529,0
USER_8,2025-07-01 04:18:00,Buy Goods,5,-0.01,1000.34,+1-539-854-3543x41095,1
USER_9,2025-07-01 04:18:00,Withdraw,1,-0.0,1000.07,(291)200-8967x39843,1
USER_3,2025-07-01 04:20:00,Withdraw,0,0.0,999.92,+1-618-717-4119x647,0
USER_10,2025-07-01 04:20:00,Send Money,0,0.0,1000.0,+1-315-439-0456x76586,1
USER_2,2025-07-01 04:24:00,Withdraw,0,0.0,1000.0,290-274-3165,1
USER_8,2025-07-01 04:24:00,Withdraw,19,-0.16,1000.18,(592)354-3121x994,0
USER_4,2025-07-01 04:32:00,Withdraw,3,0.03,1000.07,761-876-3552x50335,1
USER_2,2025-07-01 04:32:00,Send Money,0,0.0,1000.0,869.920.3101x7613,1
USER_6,2025-07-01 04:38:00,Pay Bill,1,0.0,1006.82,+1-907-801-0826x4313,1
USER_1,2025-07-01 04:40:00,Deposit,22,-0.12,998.5,749.654.5520x052,1
USER_6,2025-07-01 04:40:00,Buy Goods,1,-0.01,1006.81,(519)613-7368x80584,1
USER_5,2025-07-01 04:42:00,Pay Bill,0,-0.0,999.02,+1-277-275-9979x1571,1
USER_1,2025-07-01 04:44:00,Withdraw,0,-0.0,998.5,(547)751-7178x685,0
USER_7,2025-07-01 04:46:00,Deposit,0,-0.0,999.59,600-488-8364,1
USER_5,2025-07-01 04:48:00,Withdraw,8,0.01,999.03,(438)425-7257,0
USER_9,2025-07-01 04:50:00,Withdraw,4,-0.02,1000.05,(249)473-6983,1
USER_3,2025-07-01 04:50:00,Buy Goods,0,-0.0,999.92,(820)479-9235x7735,1
USER_10,2025-07-01 04:52:00,Buy Goods,0,-0.0,1000.0,2199520484,0
USER_3,2025-07-01 04:52:00,Deposit,0,0.0,999.92,(948)348-6728,1
USER_6,2025-07-01 04:54:00,Buy Goods,2,-0.01,1006.8,001-567-553-6917,0
USER_7,2025-07-01 04:54:00,Deposit,0,-0.0,999.59,2024737025,1
USER_8,2025-07-01 04:56:00,Buy Goods,0,0.0,1000.18,672.881.3199x757,0
USER_4,2025-07-01 05:00:00,Send Money,4,-0.06,1000.01,891-573-3387,0
USER_10,2025-07-01 05:02:00,Buy Goods,0,-0.0,1000.0,(340)728-0978,0
USER_5,2025-07-01 05:04:00,Withdraw,0,0.0,999.03,915.716.0433x1416,1
USER_8,2025-07-01 05:04:00,Buy Goods,2,-0.0,1000.18,447.353.2041x4063,0
USER_3,2025-07-01 05:04:00,Deposit,15,-0.0,999.92,+1-496-704-3906x727,0
USER_6,2025-07-01 05:06:00,Buy Goods,0,0.0,1006.8,855.804.9779x645,1
USER_8,2025-07-01 05:10:00,Withdraw,11,0.13,1000.31,(871)241-8223,1
USER_8,2025-07-01 05:12:00,Deposit,0,0.0,1000.31,777.422.6278x051,1
USER_8,2025-07-01 05:14:00,Deposit,0,-0.0,1000.31,(234)826-3627,1
USER_1,2025-07-01 05:16:00,Send Money,0,0.0,998.5,3908055970,0
USER_4,2025-07-01 05:18:00,Pay Bill,1,0.01,1000.02,(216)323-9934x4996,0
USER_8,2025-07-01 05:20:00,Deposit,2,-0.01,1000.3,810-764-2401,0
USER_1,2025-07-01 05:20:00,Send Money,0,0.0,998.5,535-993-3012x211,0
USER_4,2025-07-01 05:22:00,Send Money,0,-0.0,1000.02,642-813-3008x8414,0
USER_6,2025-07-01 05:22:00,Withdraw,0,0.0,1006.8,388-403-5976,1
USER_6,2025-07-01 05:24:00,Buy Goods,1,0.01,1006.81,+1-945-344-2450x012,0
USER_1,2025-07-01 05:28:00,Deposit,2,0.02,998.52,423-342-6098x069,0
USER_4,2025-07-01 05:30:00,Send Money,2,0.03,1000.05,6582171044,1
USER_6,2025-07-01 05:30:00,Withdraw,0,-0.0,1006.81,001-630-660-0840x743,0
USER_6,2025-07-01 05:34:00,Withdraw,0,-0.0,1006.81,889.419.1781,1
USER_8,2025-07-01 05:34:00,Deposit,4,-0.05,1000.25,442-392-9259,1
USER_1,2025-07-01 05:38:00,Buy Goods,0,0.0,998.52,001-432-491-9581x64729,0
USER_5,2025-07-01 05:38:00,Withdraw,22,0.68,999.71,(941)734-5046,1
USER_2,2025-07-01 05:38:00,Deposit,0,-0.0,1000.0,414-996-1027x178,0
USER_7,2025-07-01 05:40:00,Deposit,0,-0.0,999.59,001-334-907-2320x5417,0
USER_3,2025-07-01 05:42:00,Withdraw,1,-0.01,999.91,(816)252-7700x485,0
USER_4,2025-07-01 05:48:00,Withdraw,0,0.0,1000.05,(580)982-8471,1
USER_3,2025-07-01 05:50:00,Buy Goods,3,-0.02,999.89,001-581-424-4942x7449,1
USER_1,2025-07-01 05:52:00,Deposit,0,-0.0,998.52,(798)358-6913x3150,1
USER_8,2025-07-01 05:54:00,Buy Goods,19,-0.05,1000.2,(918)287-4795,1
USER_5,2025-07-01 05:56:00,Deposit,1,-0.0,999.71,+1-726-285-4837x9430,0
USER_1,2025-07-01 05:58:00,Buy Goods,0,0.0,998.52,885.233.1683x6761,1
USER_8,2025-07-01 06:02:00,Send Money,0,-0.0,1000.2,(782)950-0071x5314,0
USER_3,2025-07-01 06:02:00,Withdraw,0,-0.0,999.89,+1-373-549-7628x541,0
USER_6,2025-07-01 06:02:00,Deposit,1,0.01,1006.82,2426261574,0
USER_5,2025-07-01 06:04:00,Pay Bill,0,0.0,999.71,346.369.8975,1
USER_3,2025-07-01 06:12:00,Withdraw,0,0.0,999.89,+1-641-706-3825,1
USER_10,2025-07-01 06:12:00,Pay Bill,0,0.0,1000.0,001-363-608-1901x24040,1
USER_10,2025-07-01 06:14:00,Pay Bill,2,0.03,1000.03,(293)721-4168x15633,1
USER_7,2025-07-01 06:20:00,Deposit,0,-0.0,999.59,7295555794,0
USER_6,2025-07-01 06:22:00,Deposit,0,-0.0,1006.82,314.347.9045x64528,1
USER_7,2025-07-01 06:26:00,Pay Bill,0,-0.0,999.59,933-869-2333,1
USER_4,2025-07-01 06:26:00,Withdraw,0,-0.0,1000.05,001-292-418-2850x75946,0
USER_2,2025-07-01 06:28:00,Deposit,1,0.01,1000.01,9899875293,1
USER_2,2025-07-01 06:30:00,Withdraw,8,0.07,1000.08,+1-579-426-7676x323,1
USER_6,2025-07-01 06:36:00,Pay Bill,5,0.04,1006.86,614-662-6193x64055,1
USER_4,2025-07-01 06:38:00,Withdraw,2,-0.01,1000.04,001-529-900-2397,0
USER_10,2025-07-01 06:40:00,Pay Bill,0,0.0,1000.03,001-497-271-5260,1
USER_6,2025-07-01 06:40:00,Pay Bill,9,0.07,1006.93,637.931.7786x11330,1
USER_7,2025-07-01 06:42:00,Withdraw,81,-0.87,998.72,8732979345,0
USER_4,2025-07-01 06:50:00,Send Money,0,0.0,1000.04,379.676.6996x134,0
USER_10,2025-07-01 06:54:00,Send Money,3,-0.04,999.99,819-282-6544x974,1
USER_4,2025-07-01 06:56:00,Deposit,0,0.0,1000.04,823-421-9400,0
USER_10,2025-07-01 06:58:00,Withdraw,0,0.0,999.99,(367)254-6070x51330,1
USER_6,2025-07-01 06:58:00,Withdraw,1,0.01,1006.94,(556)367-7714x8749,0
USER_6,2025-07-01 07:06:00,Buy Goods,0,0.0,1006.94,001-744-492-6549x42791,0
USER_1,2025-07-01 07:08:00,Send Money,5,-0.02,998.5,001-259-417-0446,0
USER_10,2025-07-01 07:10:00,Send Money,0,-0.0,999.99,414-489-9045,0
USER_8,2025-07-01 07:10:00,Deposit,0,0.0,1000.2,868.606.0624x244,0
USER_5,2025-07-01 07:10:00,Buy Goods,0,-0.0,999.71,+1-734-501-3775x113,0
USER_4,2025-07-01 07:12:00,Buy Goods,0,0.0,1000.04,6337099943,0
USER_6,2025-07-01 07:14:00,Withdraw,0,0.0,1006.94,(704)608-2899x05313,1
USER_9,2025-07-01 07:22:00,Send Money,1,-0.02,1000.03,403.547.2933,1
USER_1,2025-07-01 07:22:00,Send Money,33,0.22,998.72,814.893.9498x29208,1
USER_8,2025-07-01 07:24:00,Buy Goods,0,-0.0,1000.2,749-947-0124x5472,0
USER_5,2025-07-01 07:24:00,Withdraw,7,-0.04,999.67,(572)412-6629,0
USER_5,2025-07-01 07:24:00,Pay Bill,13,0.2,999.87,001-312-282-9708x70001,1
USER_6,2025-07-01 07:26:00,Buy Goods,15,-0.33,1006.61,(274)804-4752,1
USER_5,2025-07-01 07:26:00,Withdraw,3,0.03,999.9,215.454.3168x4401,0
USER_10,2025-07-01 07:26:00,Pay Bill,2,-0.0,999.99,001-336-732-9232x0630,0
USER_4,2025-07-01 07:28:00,Pay Bill,0,-0.0,1000.04,+1-405-938-1990x4760,1
USER_10,2025-07-01 07:30:00,Buy Goods,0,0.0,999.99,508.919.0147x9679,1
USER_5,2025-07-01 07:30:00,Send Money,8,0.01,999.91,001-992-233-3535,0
USER_6,2025-07-01 07:30:00,Withdraw,2,-0.03,1006.58,708.241.5442,1
USER_5,2025-07-01 07:30:00,Buy Goods,1,0.0,999.91,(510)757-3451,1
USER_9,2025-07-01 07:32:00,Send Money,1,-0.0,1000.03,511.691.0898x462,0
USER_3,2025-07-01 07:32:00,Buy Goods,2,-0.01,999.88,+1-981-634-4651x4252,0
USER_1,2025-07-01 07:36:00,Pay Bill,1,0.0,998.72,+1-295-252-8859x718,0
USER_1,2025-07-01 07:36:00,Deposit,0,-0.0,998.72,+1-568-555-6516x26038,1
USER_5,2025-07-01 07:44:00,Withdraw,0,-0.0,999.91,(603)869-4901x97033,0
USER_7,2025-07-01 07:44:00,Send Money,0,0.0,998.72,2968064999,1
USER_4,2025-07-01 07:48:00,Deposit,0,-0.0,1000.04,001-783-601-5031,1
USER_1,2025-07-01 07:50:00,Send Money,0,0.0,998.72,656.305.4526x65184,0
USER_2,2025-07-01 07:52:00,Pay Bill,0,-0.0,1000.08,(221)306-7312,0
USER_9,2025-07-01 07:56:00,Buy Goods,31,0.15,1000.18,213-854-5526,0
USER_8,2025-07-01 07:56:00,Deposit,0,0.0,1000.2,(857)615-5986x59128,1
USER_3,2025-07-01 08:02:00,Deposit,0,0.0,999.88,409.991.1352x977,0
USER_10,2025-07-01 08:02:00,Deposit,9,0.1,1000.09,+1-537-222-5515,0
USER_9,2025-07-01 08:04:00,Pay Bill,110,-2.32,997.86,(735)860-1007x1712,1
USER_10,2025-07-01 08:06:00,Deposit,0,-0.0,1000.09,(933)976-5356x232,1
USER_2,2025-07-01 08:06:00,Withdraw,0,0.0,1000.08,001-449-739-7574x9008,0
USER_4,2025-07-01 08:08:00,Withdraw,3,-0.0,1000.04,(441)429-5003x896,1
USER_1,2025-07-01 08:18:00,Deposit,0,-0.0,998.72,723.260.4626,0
USER_2,2025-07-01 08:20:00,Send Money,0,-0.0,1000.08,+1-581-370-8980x509,0
USER_9,2025-07-01 08:20:00,Withdraw,0,-0.0,997.86,001-704-304-1300x15994,0
USER_1,2025-07-01 08:30:00,Deposit,2,-0.01,998.71,(706)977-1725x950,0
USER_4,2025-07-01 08:32:00,Pay Bill,0,-0.0,1000.04,(525)864-7506x7384,0
USER_1,2025-07-01 08:34:00,Pay Bill,10,-0.04,998.67,327.891.6732x0197,0
USER_5,2025-07-01 08:36:00,Send Money,0,0.0,999.91,(346)313-2654,0
USER_1,2025-07-01 08:40:00,Withdraw,0,-0.0,998.67,2397003426,0
USER_10,2025-07-01 08:40:00,Deposit,0,-0.0,1000.09,396-328-1460x4124,0
USER_7,2025-07-01 08:42:00,Buy Goods,0,0.0,998.72,+1-589-662-2949x7592,0
USER_6,2025-07-01 08:46:00,Buy Goods,0,-0.0,1006.58,410.226.8345,0
USER_9,2025-07-01 08:46:00,Pay Bill,5,0.03,997.89,711.443.8123x346,1
USER_7,2025-07-01 08:46:00,Buy Goods,0,0.0,998.72,5279731518,0
USER_5,2025-07-01 08:50:00,Buy Goods,1,0.0,999.91,461-219-3463,1
USER_5,2025-07-01 08:52:00,Deposit,4,0.0,999.91,(259)591-7071,1
USER_5,2025-07-01 08:54:00,Withdraw,43,0.24,1000.15,6872208974,1
USER_5,2025-07-01 08:54:00,Pay Bill,6,0.03,1000.18,381.255.5524,1
USER_7,2025-07-01 08:58:00,Deposit,87,0.58,999.3,642.465.5156x109,0
USER_6,2025-07-01 09:00:00,Pay Bill,1,-0.0,1006.58,877.565.8944,0
USER_2,2025-07-01 09:00:00,Pay Bill,0,0.0,1000.08,001-524-763-4596x303,1
USER_5,2025-07-01 09:02:00,Deposit,0,0.0,1000.18,997-783-4903x219,0
USER_5,2025-07-01 09:04:00,Withdraw,0,-0.0,1000.18,001-268-553-8110x01985,1
USER_3,2025-07-01 09:04:00,Buy Goods,0,0.0,999.88,001-839-948-5548,1
USER_5,2025-07-01 09:06:00,Pay Bill,0,-0.0,1000.18,972-955-0540x2411,0
USER_1,2025-07-01 09:06:00,Withdraw,0,0.0,998.67,948.302.0261,1
USER_5,2025-07-01 09:08:00,Deposit,1,0.02,1000.2,8103896568,1
USER_10,2025-07-01 09:14:00,Send Money,0,0.0,1000.09,591-865-9980x5598,0
USER_9,2025-07-01 09:14:00,Deposit,6,0.1,997.99,393.918.9752,1
USER_4,2025-07-01 09:18:00,Buy Goods,17,-0.14,999.9,001-525-583-3514x409,0
USER_2,2025-07-01 09:20:00,Buy Goods,4,-0.02,1000.06,(899)642-8574,0
USER_9,2025-07-01 09:28:00,Send Money,0,-0.0,997.99,482-918-5680,1
USER_8,2025-07-01 09:28:00,Send Money,0,0.0,1000.2,375.646.8031x465,1
USER_7,2025-07-01 09:28:00,Deposit,11,0.07,999.38,+1-701-516-9353x080,0
USER_10,2025-07-01 09:28:00,Withdraw,0,-0.0,1000.09,877.615.9625,0
USER_7,2025-07-01 09:28:00,Withdraw,2,0.01,999.31,001-777-473-9263x7798,1
USER_3,2025-07-01 09:30:00,Deposit,62,0.31,1000.19,7247600306,0
USER_3,2025-07-01 09:32:00,Deposit,1296,9.22,1009.41,001-798-657-4588x2477,1
USER_6,2025-07-01 09:34:00,Send Money,0,0.0,1006.58,+1-764-409-3827x682,0
USER_5,2025-07-01 09:34:00,Withdraw,0,0.0,1000.2,+1-848-390-7513x897,0
USER_7,2025-07-01 09:36:00,Deposit,142,1.0,1000.38,(862)438-8006x5135,1
USER_8,2025-07-01 09:36:00,Withdraw,0,-0.0,1000.2,(756)707-3853x52331,1
USER_10,2025-07-01 09:42:00,Buy Goods,0,0.0,1000.09,788.510.8394x10211,0
USER_10,2025-07-01 09:44:00,Deposit,11,-0.18,999.91,263.929.2089,0
USER_5,2025-07-01 09:48:00,Deposit,0,0.0,1000.2,212.401.4798x01646,1
USER_5,2025-07-01 09:50:00,Withdraw,1,-0.0,1000.2,828-240-8235,0
USER_9,2025-07-01 09:50:00,Withdraw,2,-0.02,997.97,001-406-760-5776,1
USER_1,2025-07-01 09:50:00,Deposit,0,-0.0,998.67,210.456.6789x06915,1
USER_10,2025-07-01 09:52:00,Deposit,1,-0.0,999.91,(878)400-5872x42430,0
